model,img_std,txt_std,txt_mean
openai_clip_b32,0.1532702674074074,0.14373778370370371,0.10040941222222222
openai_clip_l14,0.16955174518518518,0.16027721,0.09867163000000001
openclip_l14_laion2b,0.2787634996296296,0.2646198125925926,0.1668703911111111
siglip2_so400m_384,0.20252628555555555,0.1950023551851852,0.04948018074074074
pecore_l14_336,0.2238028625925926,0.21337137185185187,0.1612477437037037
