model,clean_i2t,clean_t2i,q1_i2t,q1_i2t_lo,q1_i2t_hi,q5_i2t,q5_i2t_lo,q5_i2t_hi,q1_t2i,q1_t2i_lo,q1_t2i_hi,q5_t2i,q5_t2i_lo,q5_t2i_hi,i2t_drop,t2i_drop,drop_gap
openai_clip_b32,0.5256666666666666,0.494,0.49033333333333334,0.48002459897765837,0.5007806823013039,0.4711111111111111,0.4592487590913405,0.4823361242547136,0.4383844981493577,0.4261841522797698,0.45053227687023073,0.08323908617959738,0.07166123916108225,0.09468796013138521,0.054555555555555524,0.4107609138204026,0.35620535826484706
openai_clip_l14,0.556,0.5286666666666666,0.528,0.5157251191234382,0.539708985893591,0.5266666666666666,0.5122140795025538,0.5407038576368215,0.47779229261920314,0.46482801413248687,0.49159860718780235,0.09081655733996834,0.08085106851629847,0.09984983097541518,0.029333333333333433,0.43785010932669827,0.40851677599336483
openclip_l14_laion2b,0.6473333333333333,0.6553333333333333,0.6195555555555555,0.6056798459112741,0.6339952942289712,0.5946666666666667,0.5826054431119997,0.6060413521080865,0.5960156760287394,0.5848433607189139,0.6070539225374005,0.12508482243836236,0.11482221111617723,0.13473459797243767,0.05266666666666664,0.5302485108949709,0.4775818442283043
siglip2_so400m_384,0.697,0.72,0.677,0.6661611047941696,0.6878521528970044,0.6712222222222223,0.6579574471833101,0.684818591067708,0.6676464184628783,0.6545831574327935,0.6813483384152513,0.14498982130739652,0.13537132736829743,0.15472769781432727,0.025777777777777677,0.5750101786926034,0.5492324009148257
pecore_l14_336,0.703,0.71,0.6968888888888889,0.6841268606727227,0.7087814507384578,0.6844444444444444,0.6693218276358004,0.6984926892215165,0.6553450903548879,0.6326119023880813,0.6778752191363868,0.14272788961773356,0.1338310721313174,0.15141406742621472,0.018555555555555547,0.5672721103822664,0.5487165548267109
