seed,pair_id,modality,corruption_type,severity,ssim,psnr,damage_ssim,norm_edit_distance,bleu,damage_bleu
0,0,image,gaussian_noise,1,0.7703828744691851,30.259524413275752,0.22961712553081493,,,
0,0,image,gaussian_noise,2,0.5369689429303898,24.406124327260223,0.46303105706961023,,,
0,0,image,gaussian_noise,3,0.3981660247324848,21.031291804096426,0.6018339752675153,,,
0,0,image,gaussian_noise,4,0.2513905440586261,16.887699397913313,0.7486094559413738,,,
0,0,image,gaussian_noise,5,0.15027121633946014,13.33073044196015,0.8497287836605398,,,
0,1,image,gaussian_noise,1,0.829889624644923,30.220983672792617,0.170110375355077,,,
0,1,image,gaussian_noise,2,0.6361467049293251,24.398307480893095,0.3638532950706749,,,
0,1,image,gaussian_noise,3,0.5035077946036287,21.006853421406063,0.4964922053963713,,,
0,1,image,gaussian_noise,4,0.3380037748470813,16.860567460474684,0.6619962251529188,,,
0,1,image,gaussian_noise,5,0.20718444436557718,13.284354967169953,0.7928155556344229,,,
0,2,image,gaussian_noise,1,0.8448957850725226,30.45767039874833,0.1551042149274774,,,
0,2,image,gaussian_noise,2,0.6703665879773167,24.73708753107575,0.32963341202268326,,,
0,2,image,gaussian_noise,3,0.550771531005417,21.451850411157107,0.449228468994583,,,
0,2,image,gaussian_noise,4,0.39950250441442914,17.382682667655548,0.6004974955855709,,,
0,2,image,gaussian_noise,5,0.26928738161930804,13.780011889790522,0.730712618380692,,,
0,3,image,gaussian_noise,1,0.8409507988725449,30.121776597941178,0.15904920112745513,,,
0,3,image,gaussian_noise,2,0.6420955946196426,24.18024951607189,0.3579044053803574,,,
0,3,image,gaussian_noise,3,0.5135424497186505,20.768615375896193,0.4864575502813495,,,
0,3,image,gaussian_noise,4,0.36773363752132315,16.613215054395525,0.6322663624786768,,,
0,3,image,gaussian_noise,5,0.2512968492059248,13.10300278687292,0.7487031507940751,,,
0,4,image,gaussian_noise,1,0.8518497895454296,30.451075223622496,0.14815021045457044,,,
0,4,image,gaussian_noise,2,0.6762866530798505,24.655912126324395,0.3237133469201495,,,
0,4,image,gaussian_noise,3,0.5625787194408685,21.276452917239023,0.43742128055913154,,,
0,4,image,gaussian_noise,4,0.4290830277082674,17.165933196101253,0.5709169722917327,,,
0,4,image,gaussian_noise,5,0.3151280156996062,13.581859580585125,0.6848719843003939,,,
0,5,image,gaussian_noise,1,0.8901323853110777,30.07199328700539,0.10986761468892225,,,
0,5,image,gaussian_noise,2,0.735344922886144,24.117569079885868,0.26465507711385605,,,
0,5,image,gaussian_noise,3,0.6126593060702187,20.685639803768055,0.3873406939297813,,,
0,5,image,gaussian_noise,4,0.4436127923411594,16.504959322531157,0.5563872076588405,,,
0,5,image,gaussian_noise,5,0.2959722254579395,12.987985191326366,0.7040277745420604,,,
0,6,image,gaussian_noise,1,0.846393327958327,30.155506106595986,0.153606672041673,,,
0,6,image,gaussian_noise,2,0.6688690674351804,24.2610017916321,0.3311309325648196,,,
0,6,image,gaussian_noise,3,0.5379728199234646,20.836599524851447,0.4620271800765354,,,
0,6,image,gaussian_noise,4,0.3633735005917272,16.683472881471147,0.6366264994082729,,,
0,6,image,gaussian_noise,5,0.22159991760152478,13.193473600251167,0.7784000823984752,,,
0,7,image,gaussian_noise,1,0.7635687067442758,30.933459284607956,0.2364312932557242,,,
0,7,image,gaussian_noise,2,0.5230772808047225,25.165674696015486,0.4769227191952775,,,
0,7,image,gaussian_noise,3,0.38056419884722165,21.80954808576952,0.6194358011527783,,,
0,7,image,gaussian_noise,4,0.23459441501254608,17.675274894410734,0.7654055849874539,,,
0,7,image,gaussian_noise,5,0.13787212777073607,13.991040764797717,0.8621278722292639,,,
0,8,image,gaussian_noise,1,0.8415743577894594,30.286827364275087,0.15842564221054056,,,
0,8,image,gaussian_noise,2,0.663256607398272,24.430636381428165,0.33674339260172803,,,
0,8,image,gaussian_noise,3,0.534681278269569,21.065985167348945,0.465318721730431,,,
0,8,image,gaussian_noise,4,0.36858202058681266,16.971187417460627,0.6314179794131873,,,
0,8,image,gaussian_noise,5,0.2350482387408731,13.451848529920106,0.7649517612591269,,,
0,9,image,gaussian_noise,1,0.6161855446071393,31.02899956819743,0.38381445539286074,,,
0,9,image,gaussian_noise,2,0.3252738930163241,25.384837421231687,0.6747261069836759,,,
0,9,image,gaussian_noise,3,0.1952370822257532,22.106855400584305,0.8047629177742468,,,
0,9,image,gaussian_noise,4,0.09395718754711563,18.055632589441046,0.9060428124528843,,,
0,9,image,gaussian_noise,5,0.044604617626052175,14.33335318702921,0.9553953823739478,,,
0,10,image,gaussian_noise,1,0.695348874082424,30.080763244096943,0.30465112591757604,,,
0,10,image,gaussian_noise,2,0.43957411554758224,24.21332331359244,0.5604258844524177,,,
0,10,image,gaussian_noise,3,0.308515433465847,20.89157861473077,0.691484566534153,,,
0,10,image,gaussian_noise,4,0.1827361022444426,16.863129612572994,0.8172638977555574,,,
0,10,image,gaussian_noise,5,0.10403870611158515,13.385440284153624,0.8959612938884148,,,
0,11,image,gaussian_noise,1,0.8583103970385659,30.398957424017386,0.14168960296143407,,,
0,11,image,gaussian_noise,2,0.6866136168982832,24.544237696464656,0.31338638310171685,,,
0,11,image,gaussian_noise,3,0.5614018047932806,21.189124487142934,0.4385981952067194,,,
0,11,image,gaussian_noise,4,0.392870223113134,17.040508500758765,0.607129776886866,,,
0,11,image,gaussian_noise,5,0.25204629358599745,13.47374743872497,0.7479537064140025,,,
0,12,image,gaussian_noise,1,0.7429692876329851,30.113515291968497,0.2570307123670149,,,
0,12,image,gaussian_noise,2,0.4809131821404311,24.167740381690482,0.5190868178595689,,,
0,12,image,gaussian_noise,3,0.3343218876726733,20.741665037688538,0.6656781123273268,,,
0,12,image,gaussian_noise,4,0.19331342831258627,16.62745944819966,0.8066865716874138,,,
0,12,image,gaussian_noise,5,0.1081859589239322,13.146582207679884,0.8918140410760678,,,
0,13,image,gaussian_noise,1,0.8052783851642107,30.046506939997364,0.19472161483578931,,,
0,13,image,gaussian_noise,2,0.5646320325186096,24.098057809604338,0.4353679674813904,,,
0,13,image,gaussian_noise,3,0.40791525694970265,20.667007321293763,0.5920847430502973,,,
0,13,image,gaussian_noise,4,0.24275855467951765,16.47655469277411,0.7572414453204823,,,
0,13,image,gaussian_noise,5,0.137388448978639,12.949251836657943,0.862611551021361,,,
0,14,image,gaussian_noise,1,0.7348649560877113,30.37449555271264,0.2651350439122887,,,
0,14,image,gaussian_noise,2,0.5179780954255203,24.599408996183826,0.4820219045744797,,,
0,14,image,gaussian_noise,3,0.40051040760500856,21.25333556267616,0.5994895923949914,,,
0,14,image,gaussian_noise,4,0.2747735048332561,17.170223622940682,0.725226495166744,,,
0,14,image,gaussian_noise,5,0.18102474239016883,13.588710742136278,0.8189752576098311,,,
0,15,image,gaussian_noise,1,0.6948462044215233,30.792248053280613,0.30515379557847666,,,
0,15,image,gaussian_noise,2,0.436059245970805,24.86736600036466,0.563940754029195,,,
0,15,image,gaussian_noise,3,0.3041412876773111,21.444915252939992,0.6958587123226889,,,
0,15,image,gaussian_noise,4,0.17816958033065888,17.281548802955342,0.8218304196693411,,,
