
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
pecore_l14_336        0.8936  0.8194  0.7447  0.6689  0.6097
siglip2_so400m_384    0.8961  0.8108  0.7111  0.6074  0.5218

--- Text final-embedding fidelity ---
text_severity              1       2       3       4       5
model                                                       
openai_clip_b32       0.9230  0.8548  0.7182  0.6005  0.4984
openai_clip_l14       0.9052  0.8281  0.6760  0.5478  0.4370
openclip_l14_laion2b  0.9304  0.8668  0.7314  0.6074  0.4930
pecore_l14_336        0.9658  0.9330  0.8676  0.8076  0.7516
siglip2_so400m_384    0.8831  0.8021  0.6461  0.5201  0.4258

==============================================================================
6. MEASURED-DAMAGE DOMINANCE REGRESSION (parallel to ordinal-severity version)
==============================================================================
Joint conditions: vision=gaussian_noise × text=mask, severities 1..5 each.
Replace ordinal severity with image_damage_percentile and text_damage_percentile.
Hypothesis: R²(more_damaged) > R²(less_damaged), mirroring the ordinal version.

               model    predictor   slope  intercept     R2     n
     openai_clip_b32 more_damaged -0.0836     0.1861 0.1163 22500
     openai_clip_b32 less_damaged -0.0783     0.1555 0.2141 22500
     openai_clip_l14 more_damaged -0.0850     0.2017 0.0981 22500
     openai_clip_l14 less_damaged -0.0867     0.1743 0.2147 22500
openclip_l14_laion2b more_damaged -0.1077     0.3245 0.0883 22500
openclip_l14_laion2b less_damaged -0.0971     0.2830 0.1507 22500
      pecore_l14_336 more_damaged -0.1189     0.2728 0.1223 22500
      pecore_l14_336 less_damaged -0.1162     0.2318 0.2454 22500
  siglip2_so400m_384 more_damaged -0.0779     0.2356 0.0935 22500
  siglip2_so400m_384 less_damaged -0.0733     0.2073 0.1742 22500

Measured-damage dominance summary:
predictor             less_damaged  more_damaged  more_minus_less  more_wins?
model                                                                        
openai_clip_b32             0.2141        0.1163          -0.0978       False
openai_clip_l14             0.2147        0.0981          -0.1166       False
openclip_l14_laion2b        0.1507        0.0883          -0.0624       False
pecore_l14_336              0.2454        0.1223          -0.1231       False
siglip2_so400m_384          0.1742        0.0935          -0.0807       False

For reference, the ORIGINAL ordinal-severity version (3-seed mean):
(Already computed in scripts/review_3seeds.py; both should give the same direction.)

==============================================================================
DONE
==============================================================================
