
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
--- IMAGE-SIDE: retention_margin vs damage_ssim per condition ---
               model vision_corruption  image_severity  retention_margin  damage_ssim   ssim    psnr   n
     openai_clip_b32     gaussian_blur               1            0.1564       0.0254 0.9746 35.4878 900
     openai_clip_b32            cutout               1            0.1461       0.0538 0.9462 19.7492 900
     openai_clip_b32            cutout               2            0.1400       0.1056 0.8944 16.6205 900
     openai_clip_b32     gaussian_blur               2            0.1523       0.1698 0.8302 27.6004 900
     openai_clip_b32            cutout               3            0.1280       0.2089 0.7911 13.2147 900
     openai_clip_b32    gaussian_noise               1            0.1573       0.2355 0.7645 30.2403 900
     openai_clip_b32     gaussian_blur               3            0.1425       0.3275 0.6725 24.2763 900
     openai_clip_b32            cutout               4            0.1083       0.3621 0.6379 10.6483 900
     openai_clip_b32     gaussian_blur               4            0.1244       0.4288 0.5712 22.4529 900
     openai_clip_b32    gaussian_noise               2            0.1548       0.4625 0.5375 24.3738 900
     openai_clip_b32     gaussian_blur               5            0.1081       0.4767 0.5233 21.4234 900
     openai_clip_b32            cutout               5            0.0833       0.5144 0.4856  9.0114 900
     openai_clip_b32    gaussian_noise               3            0.1529       0.5952 0.4048 21.0005 900
     openai_clip_b32    gaussian_noise               4            0.1486       0.7381 0.2619 16.8803 900
     openai_clip_b32    gaussian_noise               5            0.1392       0.8384 0.1616 13.3416 900
     openai_clip_l14     gaussian_blur               1            0.1732       0.0254 0.9746 35.4878 900
     openai_clip_l14            cutout               1            0.1597       0.0538 0.9462 19.7492 900
     openai_clip_l14            cutout               2            0.1546       0.1056 0.8944 16.6205 900
     openai_clip_l14     gaussian_blur               2            0.1681       0.1698 0.8302 27.6004 900
     openai_clip_l14            cutout               3            0.1423       0.2089 0.7911 13.2147 900
     openai_clip_l14    gaussian_noise               1            0.1758       0.2355 0.7645 30.2403 900
     openai_clip_l14     gaussian_blur               3            0.1609       0.3275 0.6725 24.2763 900
     openai_clip_l14            cutout               4            0.1251       0.3621 0.6379 10.6483 900
     openai_clip_l14     gaussian_blur               4            0.1525       0.4288 0.5712 22.4529 900
     openai_clip_l14    gaussian_noise               2            0.1737       0.4625 0.5375 24.3738 900
     openai_clip_l14     gaussian_blur               5            0.1432       0.4767 0.5233 21.4234 900
     openai_clip_l14            cutout               5            0.1065       0.5144 0.4856  9.0114 900
     openai_clip_l14    gaussian_noise               3            0.1722       0.5952 0.4048 21.0005 900
     openai_clip_l14    gaussian_noise               4            0.1692       0.7381 0.2619 16.8803 900
     openai_clip_l14    gaussian_noise               5            0.1616       0.8384 0.1616 13.3416 900
openclip_l14_laion2b     gaussian_blur               1            0.2834       0.0254 0.9746 35.4878 900
openclip_l14_laion2b            cutout               1            0.2679       0.0538 0.9462 19.7492 900
openclip_l14_laion2b            cutout               2            0.2592       0.1056 0.8944 16.6205 900
openclip_l14_laion2b     gaussian_blur               2            0.2778       0.1698 0.8302 27.6004 900
openclip_l14_laion2b            cutout               3            0.2365       0.2089 0.7911 13.2147 900
openclip_l14_laion2b    gaussian_noise               1            0.2850       0.2355 0.7645 30.2403 900
openclip_l14_laion2b     gaussian_blur               3            0.2719       0.3275 0.6725 24.2763 900
openclip_l14_laion2b            cutout               4            0.2005       0.3621 0.6379 10.6483 900
openclip_l14_laion2b     gaussian_blur               4            0.2708       0.4288 0.5712 22.4529 900
