model,std_sev1,std_sev1_lo,std_sev1_hi,mean_sev1,mean_sev1_lo,mean_sev1_hi,std_drop,mean_drop,drop_red_pct
openai_clip_b32,0.14373778370370371,0.14077714624074072,0.14689917817592593,0.10040941222222222,0.09791662800925927,0.10259793113888889,0.08328828407407408,0.054838533703703694,34.158166045380455
openai_clip_l14,0.16027721,0.15713049099074075,0.16393603262037035,0.09867163000000001,0.09614442040740741,0.10148051094444444,0.09346537851851852,0.0533653651851852,42.90360127882883
openclip_l14_laion2b,0.2646198125925926,0.26133716088888886,0.26824038834259256,0.16687039111111107,0.1633520018888889,0.17091568068518517,0.14615350666666668,0.09188647074074069,37.130163458679924
siglip2_so400m_384,0.1950023551851852,0.19253251054629633,0.19769640816666667,0.04948018074074075,0.04750887612962963,0.05171299708333333,0.11232226703703703,0.028188636296296306,74.90378618604501
pecore_l14_336,0.21337137185185187,0.20784658350000002,0.21804538803703705,0.1612477437037037,0.1574615613611111,0.1656857481111111,0.11802023370370371,0.08970180740740741,23.994551957413734
